Country,Region,Q1,Q25,Q26
United States,Americas,3,1,1
United States,Americas,2,1,1
United States,Americas,2,NA,NA
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,2,2
United States,Americas,2,1,1
United States,Americas,3,2,1
United States,Americas,3,2,1
United States,Americas,3,5,5
United States,Americas,2,3,3
United States,Americas,2,4,2
United States,Americas,3,NA,NA
United States,Americas,2,3,2
United States,Americas,2,3,3
United States,Americas,1,2,2
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,3,3,2
United States,Americas,1,3,3
United States,Americas,2,2,2
United States,Americas,2,3,3
United States,Americas,2,5,5
United States,Americas,3,1,1
United States,Americas,3,1,1
United States,Americas,1,2,1
United States,Americas,3,2,2
United States,Americas,3,1,1
United States,Americas,3,1,1
United States,Americas,2,4,1
United States,Americas,1,2,3
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,3,2,2
United States,Americas,3,2,1
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,1,3,1
United States,Americas,2,2,2
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,5,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,3,2
United States,Americas,3,2,1
United States,Americas,2,1,1
United States,Americas,3,2,1
United States,Americas,2,1,1
United States,Americas,2,3,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,2
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,2,1
United States,Americas,2,1,5
United States,Americas,1,5,3
United States,Americas,1,1,1
United States,Americas,2,4,4
United States,Americas,1,1,1
United States,Americas,3,3,2
United States,Americas,2,4,2
United States,Americas,1,1,1
United States,Americas,3,3,3
United States,Americas,2,1,1
United States,Americas,1,4,2
United States,Americas,1,2,1
United States,Americas,1,1,1
United States,Americas,2,3,3
United States,Americas,2,4,2
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,2,1
United States,Americas,2,2,1
United States,Americas,2,2,2
United States,Americas,2,3,3
United States,Americas,4,1,1
United States,Americas,2,1,2
United States,Americas,2,3,2
United States,Americas,2,2,2
United States,Americas,2,2,2
United States,Americas,2,2,2
United States,Americas,2,2,1
United States,Americas,2,5,4
United States,Americas,1,3,3
United States,Americas,2,2,1
United States,Americas,2,3,2
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,3,3
United States,Americas,2,1,1
United States,Americas,2,1,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,3,4
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,1,3,2
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,3,3,3
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,4,1,1
United States,Americas,2,1,1
United States,Americas,1,1,99
United States,Americas,2,1,1
United States,Americas,2,1,2
United States,Americas,2,1,1
United States,Americas,3,5,5
United States,Americas,3,3,1
United States,Americas,3,NA,NA
United States,Americas,2,5,1
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,2,2,1
United States,Americas,2,3,2
United States,Americas,4,1,1
United States,Americas,1,2,2
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,2,3,3
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,2,1,2
United States,Americas,2,99,3
United States,Americas,2,1,1
United States,Americas,2,4,2
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,1,2,1
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,1,5,3
United States,Americas,1,2,1
United States,Americas,2,2,1
United States,Americas,2,5,5
United States,Americas,1,1,1
United States,Americas,3,1,1
United States,Americas,2,2,1
United States,Americas,3,4,1
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,2,1,3
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,3,2,2
United States,Americas,2,1,1
United States,Americas,2,4,3
United States,Americas,2,1,1
United States,Americas,2,2,4
United States,Americas,3,1,1
United States,Americas,2,3,1
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,3,2,2
United States,Americas,2,3,2
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,3,2
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,4,NA,NA
United States,Americas,3,3,3
United States,Americas,1,1,1
United States,Americas,2,3,2
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,3,3,1
United States,Americas,1,1,1
United States,Americas,4,4,4
United States,Americas,2,1,1
United States,Americas,1,NA,NA
United States,Americas,3,5,2
United States,Americas,3,1,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,4,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,1,2
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,3,1,1
United States,Americas,1,1,1
United States,Americas,2,3,1
United States,Americas,4,2,2
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,3,3
United States,Americas,1,1,2
United States,Americas,2,2,1
United States,Americas,2,2,2
United States,Americas,3,2,3
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,2,3,1
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,3,4,4
United States,Americas,2,2,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,4,3,3
United States,Americas,1,1,1
United States,Americas,4,3,2
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,3,3
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,3,1,1
United States,Americas,2,1,2
United States,Americas,2,4,2
United States,Americas,2,2,2
United States,Americas,2,3,1
United States,Americas,1,1,1
United States,Americas,2,5,2
United States,Americas,3,1,1
United States,Americas,2,3,2
United States,Americas,2,4,3
United States,Americas,3,5,2
United States,Americas,1,2,1
United States,Americas,1,1,2
United States,Americas,1,3,1
United States,Americas,1,1,1
United States,Americas,3,4,2
United States,Americas,3,3,1
United States,Americas,1,3,1
United States,Americas,2,4,4
United States,Americas,2,2,1
United States,Americas,2,2,2
United States,Americas,1,1,1
United States,Americas,2,3,3
United States,Americas,3,1,1
United States,Americas,1,99,2
United States,Americas,3,3,3
United States,Americas,2,1,1
United States,Americas,1,3,1
United States,Americas,1,1,1
United States,Americas,2,2,1
United States,Americas,2,1,3
United States,Americas,2,4,2
United States,Americas,1,2,99
United States,Americas,2,1,1
United States,Americas,3,3,4
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,3,2
United States,Americas,2,1,1
United States,Americas,3,1,2
United States,Americas,2,3,2
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,1,1,1
United States,Americas,1,3,2
United States,Americas,3,4,4
United States,Americas,2,4,99
United States,Americas,1,1,1
United States,Americas,3,99,99
United States,Americas,2,2,1
United States,Americas,2,2,2
United States,Americas,2,2,2
United States,Americas,1,5,2
United States,Americas,2,1,1
United States,Americas,1,1,2
United States,Americas,4,NA,NA
United States,Americas,1,1,1
United States,Americas,1,2,1
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,1,3,2
United States,Americas,2,1,1
United States,Americas,2,2,1
United States,Americas,2,1,2
United States,Americas,2,1,1
United States,Americas,3,5,2
United States,Americas,3,2,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,4,2,1
United States,Americas,1,1,1
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,2,1
United States,Americas,4,5,5
United States,Americas,1,1,1
United States,Americas,3,4,2
United States,Americas,1,1,3
United States,Americas,2,NA,NA
United States,Americas,2,3,3
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,1,4,2
United States,Americas,2,2,2
United States,Americas,1,2,1
United States,Americas,2,4,2
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,4,NA,NA
United States,Americas,2,3,3
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,1,4,1
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,2,1,1
United States,Americas,2,2,1
United States,Americas,1,1,1
United States,Americas,2,5,3
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,2,NA,NA
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,2,1,1
United States,Americas,2,2,4
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,3,1,99
United States,Americas,3,2,1
United States,Americas,2,4,2
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,3,2,2
United States,Americas,1,2,2
United States,Americas,2,1,1
United States,Americas,1,3,2
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,3,4,4
United States,Americas,3,1,1
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,2,4,99
United States,Americas,1,2,2
United States,Americas,4,2,2
United States,Americas,2,2,2
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,3,4,2
United States,Americas,1,2,1
United States,Americas,4,NA,NA
United States,Americas,2,4,2
United States,Americas,3,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,3,2,2
United States,Americas,2,1,1
United States,Americas,3,3,1
United States,Americas,2,2,1
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,1,5,4
United States,Americas,2,2,2
United States,Americas,3,5,3
United States,Americas,2,NA,NA
United States,Americas,2,1,1
United States,Americas,2,2,1
United States,Americas,3,4,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,1,1,1
United States,Americas,1,2,2
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,3,2,2
United States,Americas,2,3,4
United States,Americas,2,2,1
United States,Americas,1,2,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,1,5,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,2,3,3
United States,Americas,2,2,2
United States,Americas,1,2,1
United States,Americas,2,2,2
United States,Americas,3,NA,NA
United States,Americas,3,1,1
United States,Americas,2,4,3
United States,Americas,2,2,2
United States,Americas,1,1,1
United States,Americas,1,3,1
United States,Americas,2,2,1
United States,Americas,2,1,2
United States,Americas,2,1,3
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,3,3,1
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,2,4,4
United States,Americas,2,5,4
United States,Americas,2,2,1
United States,Americas,3,3,2
United States,Americas,2,1,1
United States,Americas,2,2,1
United States,Americas,2,2,2
United States,Americas,3,2,2
United States,Americas,3,3,1
United States,Americas,4,99,5
United States,Americas,2,3,2
United States,Americas,2,1,1
United States,Americas,2,1,2
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,1,1,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,4,2
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,1,NA,NA
United States,Americas,1,1,1
United States,Americas,2,3,3
United States,Americas,2,2,1
United States,Americas,2,2,2
United States,Americas,2,1,2
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,2,1
United States,Americas,2,2,2
United States,Americas,4,2,2
United States,Americas,3,NA,NA
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,2,2
United States,Americas,1,3,3
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,3,NA,NA
United States,Americas,2,3,2
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,1,2,2
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,2,1,2
United States,Americas,3,2,1
United States,Americas,2,2,2
United States,Americas,2,3,3
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,4,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,2,2
United States,Americas,2,3,2
United States,Americas,1,1,1
United States,Americas,2,2,1
United States,Americas,1,1,1
United States,Americas,2,3,3
United States,Americas,2,2,1
United States,Americas,1,1,1
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,4,5
United States,Americas,3,2,2
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,5,5
United States,Americas,1,1,1
United States,Americas,2,4,4
United States,Americas,2,4,3
United States,Americas,2,3,3
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,2,1
United States,Americas,1,2,3
United States,Americas,2,1,1
United States,Americas,1,2,2
United States,Americas,3,1,1
United States,Americas,1,1,1
United States,Americas,2,3,2
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,2,NA,NA
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,3,1,1
United States,Americas,1,5,2
United States,Americas,3,NA,NA
United States,Americas,3,3,3
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,4,1
United States,Americas,2,5,5
United States,Americas,1,2,1
United States,Americas,1,2,1
United States,Americas,3,2,2
United States,Americas,2,2,2
United States,Americas,3,1,1
United States,Americas,1,5,2
United States,Americas,1,1,1
United States,Americas,1,NA,NA
United States,Americas,2,1,1
United States,Americas,2,2,1
United States,Americas,1,2,1
United States,Americas,2,1,4
United States,Americas,1,1,1
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,3,1,2
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,99,2
United States,Americas,2,2,2
United States,Americas,3,2,2
United States,Americas,2,2,2
United States,Americas,2,3,3
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,1,1,1
United States,Americas,1,1,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,3,2
United States,Americas,3,2,1
United States,Americas,1,1,1
United States,Americas,3,NA,NA
United States,Americas,2,1,1
United States,Americas,2,3,3
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,5,5
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,4,4
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,2,1,2
United States,Americas,3,1,1
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,2,NA,NA
United States,Americas,3,1,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,3,NA,NA
United States,Americas,2,4,3
United States,Americas,2,2,3
United States,Americas,1,5,99
United States,Americas,1,1,1
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,3,1,1
United States,Americas,1,3,3
United States,Americas,2,2,2
United States,Americas,2,2,1
United States,Americas,4,2,2
United States,Americas,2,3,3
United States,Americas,2,2,1
United States,Americas,3,2,4
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,5,2
United States,Americas,2,2,1
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,3,2,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,2,1,2
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,2,1,2
United States,Americas,2,1,1
United States,Americas,2,3,2
United States,Americas,1,1,1
United States,Americas,2,NA,NA
United States,Americas,2,1,1
United States,Americas,2,3,2
United States,Americas,4,NA,NA
United States,Americas,2,1,1
United States,Americas,1,1,1
United States,Americas,1,1,1
United States,Americas,2,3,3
United States,Americas,1,1,1
United States,Americas,2,3,1
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,3,3
United States,Americas,2,1,1
United States,Americas,3,2,2
United States,Americas,3,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,1,1
United States,Americas,2,5,3
United States,Americas,2,2,1
United States,Americas,2,5,5
United States,Americas,2,1,1
United States,Americas,2,4,4
United States,Americas,2,2,1
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,1,1,1
United States,Americas,2,1,2
United States,Americas,99,2,1
United States,Americas,1,1,1
United States,Americas,2,3,1
United States,Americas,2,2,2
United States,Americas,1,5,5
United States,Americas,1,5,4
United States,Americas,2,3,2
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,1,3,2
United States,Americas,2,1,1
United States,Americas,2,99,2
United States,Americas,4,1,1
United States,Americas,2,1,1
United States,Americas,1,2,1
United States,Americas,2,3,2
United States,Americas,2,2,2
United States,Americas,3,5,2
United States,Americas,4,2,1
United States,Americas,1,3,3
United States,Americas,2,2,1
United States,Americas,2,2,2
United States,Americas,1,2,2
United States,Americas,1,1,1
United States,Americas,2,3,3
United States,Americas,1,1,1
United States,Americas,2,2,2
United States,Americas,2,3,2
United States,Americas,2,2,2
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,2,2,2
United States,Americas,4,1,1
United States,Americas,2,1,1
United States,Americas,3,1,1
United States,Americas,1,3,2
United States,Americas,2,3,3
United States,Americas,1,2,1
United States,Americas,2,1,1
United States,Americas,3,3,4
United States,Americas,3,2,1
United States,Americas,2,1,1
United States,Americas,1,5,5
United States,Americas,2,5,5
United States,Americas,2,1,1
United States,Americas,2,2,1
United States,Americas,1,1,1
United States,Americas,2,1,1
United States,Americas,1,1,1
